RNA_id	type
novel_circ_0009719	circRNA
hsa_circ_0008961	circRNA
hsa-miR-1976	miRNA
ENST00000420326	mRNA
hsa-miR-1972	miRNA
hsa-miR-3065-3p	miRNA
hsa_circ_0004761	circRNA
hsa_circ_0001330	circRNA
ENST00000278919	mRNA
hsa_circ_0003755	circRNA
ENST00000420329	mRNA
hsa_circ_0001423	circRNA
hsa_circ_0001421	circRNA
ENST00000373589	mRNA
novel_circ_0001382	circRNA
hsa_circ_0001425	circRNA
hsa_circ_0037661	circRNA
novel_circ_0000891	circRNA
ENST00000476567	mRNA
hsa-miR-6873-3p	miRNA
novel_circ_0004713	circRNA
ENST00000257966	mRNA
ENST00000257963	mRNA
novel_circ_0002496	circRNA
novel_circ_0002495	circRNA
ENST00000300935	mRNA
hsa-miR-4529-3p	miRNA
ENST00000636522	mRNA
hsa-miR-509-3p	miRNA
ENST00000544915	mRNA
ENST00000590297	mRNA
ENST00000313578	mRNA
ENST00000409141	mRNA
hsa_circ_0013298	circRNA
hsa-miR-29b-1-5p	miRNA
ENST00000368613	mRNA
ENST00000308091	mRNA
ENST00000342427	mRNA
hsa-miR-520d-3p	miRNA
ENST00000332145	mRNA
novel_circ_0006176	circRNA
hsa_circ_0007476	circRNA
hsa_circ_0087961	circRNA
ENST00000537883	mRNA
ENST00000264042	mRNA
ENST00000370924	mRNA
ENST00000596288	mRNA
ENST00000315872	mRNA
ENST00000543126	mRNA
hsa-miR-93-5p	miRNA
ENST00000328828	mRNA
novel_267	miRNA
ENST00000405486	mRNA
ENST00000621469	mRNA
ENST00000587079	mRNA
hsa-miR-4491	miRNA
hsa-miR-514b-5p	miRNA
hsa_circ_0085125	circRNA
ENST00000451849	mRNA
ENST00000372988	mRNA
ENST00000373960	mRNA
hsa_circ_0001936	circRNA
TCONS_00045338	mRNA
ENST00000372980	mRNA
ENST00000534084	mRNA
hsa_circ_0082654	circRNA
ENST00000642797	mRNA
ENST00000568546	mRNA
ENST00000369496	mRNA
ENST00000568544	mRNA
hsa-miR-6815-5p	miRNA
hsa-miR-206	miRNA
ENST00000405930	mRNA
ENST00000260723	mRNA
hsa_circ_0008898	circRNA
ENST00000371663	mRNA
ENST00000304516	mRNA
hsa_circ_0001426	circRNA
ENST00000369367	mRNA
ENST00000301264	mRNA
hsa-miR-632	miRNA
ENST00000456903	mRNA
hsa-miR-449a	miRNA
hsa_circ_0034927	circRNA
ENST00000403084	mRNA
hsa-miR-6762-3p	miRNA
ENST00000588173	mRNA
hsa-miR-217-5p	miRNA
hsa-miR-6787-5p	miRNA
hsa-miR-18b-5p	miRNA
ENST00000545799	mRNA
hsa-miR-5588-5p	miRNA
hsa-miR-139-3p	miRNA
ENST00000644700	mRNA
ENST00000293404	mRNA
ENST00000545797	mRNA
hsa-miR-455-5p	miRNA
ENST00000620518	mRNA
hsa-miR-2682-5p	miRNA
hsa-miR-501-3p	miRNA
ENST00000308508	mRNA
hsa_circ_0000596	circRNA
ENST00000393370	mRNA
ENST00000369037	mRNA
ENST00000645686	mRNA
hsa_circ_0003234	circRNA
hsa_circ_0022601	circRNA
hsa_circ_0004826	circRNA
hsa_circ_0069348	circRNA
ENST00000291577	mRNA
ENST00000484262	mRNA
ENST00000254730	mRNA
ENST00000210313	mRNA
ENST00000602840	mRNA
