source	target	pearson
hsa-let-7b-3p	hsa_circ_0003234	-0.889888925061
hsa-let-7b-3p	ENST00000543915	-0.878853704508
hsa-let-7d-5p	hsa_circ_0003391	-0.870083911432
hsa-let-7d-5p	ENST00000644078	-0.971705330326
hsa-let-7e-5p	novel_circ_0007266	-0.911615459732
hsa-let-7e-5p	ENST00000274695	-0.851065625006
hsa-let-7f-5p	hsa_circ_0003489	-0.86853763778
hsa-let-7f-5p	ENST00000342427	-0.983476365224
hsa-let-7g-3p	hsa_circ_0005044	-0.850169131917
hsa-let-7g-3p	ENST00000324679	-0.948078227907
hsa-let-7g-3p	ENST00000369037	-0.855375242427
hsa-let-7g-3p	ENST00000373816	-0.86924096685
hsa-let-7g-3p	hsa_circ_0005102	-0.850409207572
hsa-let-7g-5p	hsa_circ_0000845	-0.873391543822
hsa-let-7g-5p	ENST00000515632	-0.873391543822
hsa-let-7g-5p	hsa_circ_0002663	-0.873391543822
hsa-let-7g-5p	hsa_circ_0003435	-0.873391543822
hsa-let-7g-5p	hsa_circ_0003730	-0.873391543822
hsa-let-7g-5p	hsa_circ_0003806	-0.873391543822
hsa-let-7g-5p	hsa_circ_0004761	-0.873391543822
hsa-let-7g-5p	hsa_circ_0005247	-0.873391543822
hsa-let-7g-5p	hsa_circ_0006219	-0.873391543822
hsa-let-7g-5p	hsa_circ_0007807	-0.873391543822
hsa-let-7g-5p	hsa_circ_0008608	-0.873391543822
hsa-let-7g-5p	hsa_circ_0008625	-0.870236688055
hsa-let-7g-5p	hsa_circ_0011137	-0.873391543822
hsa-let-7g-5p	hsa_circ_0016723	-0.873391543822
hsa-let-7g-5p	hsa_circ_0018025	-0.873391543822
hsa-let-7g-5p	hsa_circ_0025506	-0.873391543822
hsa-let-7g-5p	hsa_circ_0045861	-0.873391543822
hsa-let-7g-5p	hsa_circ_0047135	-0.873391543822
hsa-let-7g-5p	hsa_circ_0047391	-0.873391543822
hsa-let-7g-5p	hsa_circ_0047474	-0.873391543822
hsa-let-7g-5p	hsa_circ_0054960	-0.873391543822
hsa-let-7g-5p	hsa_circ_0066147	-0.873391543822
hsa-let-7g-5p	hsa_circ_0066604	-0.873391543822
hsa-let-7g-5p	hsa_circ_0071510	-0.873391543822
hsa-let-7g-5p	hsa_circ_0072976	-0.873391543822
hsa-let-7g-5p	hsa_circ_0075740	-0.873391543822
hsa-let-7g-5p	hsa_circ_0077659	-0.873391543822
hsa-let-7g-5p	novel_circ_0001637	-0.873391543822
hsa-let-7g-5p	novel_circ_0001834	-0.873391543822
hsa-let-7g-5p	novel_circ_0005227	-0.873391543822
hsa-let-7g-5p	novel_circ_0006617	-0.873391543822
hsa-let-7g-5p	novel_circ_0008373	-0.873391543822
hsa-let-7g-5p	novel_circ_0008828	-0.873391543822
hsa-let-7g-5p	novel_circ_0008854	-0.873391543822
hsa-let-7g-5p	novel_circ_0009106	-0.873391543822
hsa-let-7g-5p	novel_circ_0009719	-0.873391543822
hsa-let-7i-5p	hsa_circ_0000845	-0.869514952148
hsa-let-7i-5p	ENST00000228027	-0.950039341529
hsa-let-7i-5p	ENST00000325192	-0.868651199905
hsa-let-7i-5p	ENST00000336963	-0.869404462106
hsa-let-7i-5p	ENST00000344008	-0.97748845072
hsa-let-7i-5p	ENST00000475056	-0.869514952148
hsa-let-7i-5p	ENST00000563392	-0.869514952148
hsa-let-7i-5p	ENST00000622495	-0.899941039576
hsa-let-7i-5p	ENST00000636522	-0.869514952148
hsa-let-7i-5p	TCONS_00407661	-0.93670075666
hsa-let-7i-5p	hsa_circ_0002663	-0.869514952148
hsa-let-7i-5p	hsa_circ_0003435	-0.869514952148
hsa-let-7i-5p	hsa_circ_0003730	-0.869514952148
hsa-let-7i-5p	hsa_circ_0003806	-0.869514952148
hsa-let-7i-5p	hsa_circ_0004761	-0.869514952148
hsa-let-7i-5p	hsa_circ_0005247	-0.869514952148
hsa-let-7i-5p	hsa_circ_0006219	-0.869514952148
hsa-let-7i-5p	hsa_circ_0007807	-0.869514952148
hsa-let-7i-5p	hsa_circ_0008608	-0.869514952148
hsa-let-7i-5p	hsa_circ_0011137	-0.869514952148
hsa-let-7i-5p	hsa_circ_0016723	-0.869514952148
hsa-let-7i-5p	hsa_circ_0018025	-0.869514952148
hsa-let-7i-5p	hsa_circ_0025506	-0.869514952148
hsa-let-7i-5p	hsa_circ_0045861	-0.869514952148
hsa-let-7i-5p	hsa_circ_0047135	-0.869514952148
hsa-let-7i-5p	hsa_circ_0047391	-0.869514952148
hsa-let-7i-5p	hsa_circ_0047474	-0.869514952148
hsa-let-7i-5p	hsa_circ_0054960	-0.869514952148
hsa-let-7i-5p	hsa_circ_0066147	-0.869514952148
hsa-let-7i-5p	hsa_circ_0066604	-0.869514952148
hsa-let-7i-5p	hsa_circ_0070680	-0.90841969831
hsa-let-7i-5p	hsa_circ_0071510	-0.869514952148
hsa-let-7i-5p	hsa_circ_0072976	-0.869514952148
hsa-let-7i-5p	hsa_circ_0075740	-0.869514952148
hsa-let-7i-5p	hsa_circ_0077659	-0.869514952148
hsa-let-7i-5p	novel_circ_0001637	-0.869514952148
hsa-let-7i-5p	novel_circ_0001834	-0.869514952148
hsa-let-7i-5p	novel_circ_0004616	-0.861672685997
hsa-let-7i-5p	novel_circ_0005227	-0.869514952148
hsa-let-7i-5p	novel_circ_0006617	-0.869514952148
hsa-let-7i-5p	novel_circ_0008373	-0.869514952148
hsa-let-7i-5p	novel_circ_0008828	-0.869514952148
hsa-let-7i-5p	novel_circ_0008854	-0.869514952148
hsa-let-7i-5p	novel_circ_0009106	-0.869514952148
hsa-let-7i-5p	novel_circ_0009719	-0.869514952148
hsa-miR-101-5p	hsa_circ_0001430	-0.893146325245
hsa-miR-101-5p	ENST00000354947	-0.868452279973
hsa-miR-101-5p	hsa_circ_0003117	-0.893146325245
hsa-miR-101-5p	hsa_circ_0007186	-0.894753192493
hsa-miR-101-5p	hsa_circ_0077736	-0.874243985052
hsa-miR-101-5p	novel_circ_0005334	-0.893146325245
hsa-miR-101-5p	novel_circ_0009783	-0.893146325245
hsa-miR-10394-5p	hsa_circ_0003958	-0.930987373048
hsa-miR-10394-5p	ENST00000280606	-0.920660199723
hsa-miR-10394-5p	ENST00000312106	-0.953464492417
hsa-miR-10394-5p	ENST00000333611	-0.979546964805
hsa-miR-10394-5p	ENST00000360876	-0.980188397724
hsa-miR-10394-5p	ENST00000413009	-0.982212281417
hsa-miR-10394-5p	ENST00000432560	-0.884388966905
hsa-miR-10394-5p	hsa_circ_0004650	-0.924909359519
hsa-miR-10394-5p	hsa_circ_0007813	-0.859380512859
