RNA_id	type
ENST00000535970	lncRNA
ENST00000491729	lncRNA
ENST00000590614	lncRNA
TCONS_00356153	lncRNA
ENST00000617428	mRNA
ENST00000585051	lncRNA
TCONS_00226013	lncRNA
ENST00000657140	lncRNA
ENST00000580975	lncRNA
ENST00000657142	lncRNA
ENST00000496115	lncRNA
ENST00000571185	lncRNA
ENST00000473862	lncRNA
ENST00000491479	lncRNA
ENST00000657148	lncRNA
ENST00000621469	mRNA
ENST00000534084	mRNA
ENST00000629485	lncRNA
ENST00000645056	lncRNA
ENST00000606533	lncRNA
ENST00000658415	lncRNA
ENST00000476560	lncRNA
TCONS_00017919	lncRNA
ENST00000606829	lncRNA
ENST00000495010	lncRNA
ENST00000476567	mRNA
ENST00000222374	mRNA
ENST00000480269	lncRNA
ENST00000574724	lncRNA
ENST00000513546	lncRNA
ENST00000496461	lncRNA
ENST00000521551	lncRNA
ENST00000663460	lncRNA
ENST00000487555	lncRNA
ENST00000427020	lncRNA
ENST00000487005	lncRNA
ENST00000590114	lncRNA
ENST00000486758	lncRNA
ENST00000507271	lncRNA
ENST00000577771	lncRNA
ENST00000486973	lncRNA
ENST00000463098	lncRNA
ENST00000525075	lncRNA
ENST00000463095	lncRNA
ENST00000486755	lncRNA
ENST00000426882	lncRNA
ENST00000486209	lncRNA
ENST00000587470	lncRNA
ENST00000576807	lncRNA
ENST00000587472	lncRNA
ENST00000261252	lncRNA
ENST00000555916	lncRNA
ENST00000544915	mRNA
ENST00000593258	lncRNA
ENST00000435074	lncRNA
TCONS_00129114	lncRNA
ENST00000392852	lncRNA
ENST00000473439	lncRNA
ENST00000416124	lncRNA
ENST00000666166	lncRNA
hsa-miR-29b-1-5p	miRNA
ENST00000493477	lncRNA
ENST00000375204	lncRNA
ENST00000513892	lncRNA
ENST00000375206	lncRNA
ENST00000454892	lncRNA
ENST00000462415	lncRNA
ENST00000533350	lncRNA
ENST00000670472	lncRNA
ENST00000533680	lncRNA
ENST00000470802	lncRNA
ENST00000624141	lncRNA
ENST00000453427	lncRNA
ENST00000564098	lncRNA
ENST00000562575	lncRNA
ENST00000492013	lncRNA
ENST00000670470	lncRNA
ENST00000631687	lncRNA
ENST00000460674	lncRNA
ENST00000567093	lncRNA
TCONS_00291296	lncRNA
hsa-miR-4745-5p	miRNA
ENST00000522397	lncRNA
ENST00000460926	lncRNA
ENST00000596518	lncRNA
ENST00000460924	lncRNA
TCONS_00068980	lncRNA
ENST00000503166	lncRNA
ENST00000593034	lncRNA
ENST00000593037	lncRNA
ENST00000463322	lncRNA
ENST00000476491	mRNA
ENST00000632086	lncRNA
ENST00000515495	lncRNA
ENST00000659232	lncRNA
ENST00000560517	lncRNA
hsa-miR-411-5p	miRNA
ENST00000466781	lncRNA
ENST00000659236	lncRNA
ENST00000556462	lncRNA
ENST00000609708	lncRNA
ENST00000654147	lncRNA
ENST00000654146	lncRNA
ENST00000466788	lncRNA
ENST00000651422	lncRNA
ENST00000564204	lncRNA
ENST00000559587	lncRNA
ENST00000620734	lncRNA
ENST00000570276	lncRNA
hsa-miR-6734-5p	miRNA
ENST00000570278	lncRNA
ENST00000375348	lncRNA
ENST00000533530	lncRNA
ENST00000651967	lncRNA
ENST00000514376	lncRNA
ENST00000482691	lncRNA
ENST00000511810	lncRNA
ENST00000547247	lncRNA
ENST00000644233	lncRNA
ENST00000405717	mRNA
ENST00000567892	lncRNA
ENST00000492261	lncRNA
ENST00000618081	lncRNA
ENST00000502342	lncRNA
ENST00000601089	lncRNA
ENST00000479630	lncRNA
ENST00000600280	lncRNA
ENST00000619681	lncRNA
ENST00000568546	mRNA
ENST00000355068	lncRNA
ENST00000568544	mRNA
ENST00000608974	lncRNA
ENST00000648235	lncRNA
ENST00000608701	lncRNA
ENST00000480124	lncRNA
ENST00000485405	lncRNA
ENST00000480694	lncRNA
ENST00000570116	lncRNA
ENST00000305368	lncRNA
ENST00000480693	lncRNA
ENST00000654204	lncRNA
ENST00000305364	mRNA
ENST00000645051	lncRNA
ENST00000569495	lncRNA
ENST00000480128	lncRNA
