ID1	type	ID2	type
hsa-let-7b-3p	miRNA	ENST00000417120	lncRNA
hsa-let-7b-3p	miRNA	ENST00000429659	lncRNA
hsa-let-7b-3p	miRNA	ENST00000459993	lncRNA
hsa-let-7b-3p	miRNA	ENST00000463912	lncRNA
hsa-let-7b-3p	miRNA	ENST00000464961	lncRNA
hsa-let-7b-3p	miRNA	ENST00000465379	lncRNA
hsa-let-7b-3p	miRNA	ENST00000466379	lncRNA
hsa-let-7b-3p	miRNA	ENST00000468620	lncRNA
hsa-let-7b-3p	miRNA	ENST00000468986	lncRNA
hsa-let-7b-3p	miRNA	ENST00000472207	lncRNA
hsa-let-7b-3p	miRNA	ENST00000480583	lncRNA
hsa-let-7b-3p	miRNA	ENST00000480885	lncRNA
hsa-let-7b-3p	miRNA	ENST00000483789	lncRNA
hsa-let-7b-3p	miRNA	ENST00000485349	lncRNA
hsa-let-7b-3p	miRNA	ENST00000488621	lncRNA
hsa-let-7b-3p	miRNA	ENST00000490939	lncRNA
hsa-let-7b-3p	miRNA	ENST00000492618	lncRNA
hsa-let-7b-3p	miRNA	ENST00000497085	lncRNA
hsa-let-7b-3p	miRNA	ENST00000500036	lncRNA
hsa-let-7b-3p	miRNA	ENST00000501122	lncRNA
hsa-let-7b-3p	miRNA	ENST00000510396	lncRNA
hsa-let-7b-3p	miRNA	ENST00000519517	lncRNA
hsa-let-7b-3p	miRNA	ENST00000521620	lncRNA
hsa-let-7b-3p	miRNA	ENST00000543915	gene
hsa-let-7b-3p	miRNA	ENST00000551766	lncRNA
hsa-let-7b-3p	miRNA	ENST00000554588	lncRNA
hsa-let-7b-3p	miRNA	ENST00000564407	lncRNA
hsa-let-7b-3p	miRNA	ENST00000581424	lncRNA
hsa-let-7b-3p	miRNA	ENST00000617518	lncRNA
hsa-let-7b-3p	miRNA	ENST00000617860	lncRNA
hsa-let-7b-3p	miRNA	ENST00000623461	lncRNA
hsa-let-7b-3p	miRNA	ENST00000626866	lncRNA
hsa-let-7b-3p	miRNA	ENST00000640411	lncRNA
hsa-let-7b-3p	miRNA	ENST00000647895	lncRNA
hsa-let-7b-3p	miRNA	ENST00000669263	lncRNA
hsa-let-7d-5p	miRNA	ENST00000381017	lncRNA
hsa-let-7d-5p	miRNA	ENST00000439494	lncRNA
hsa-let-7d-5p	miRNA	ENST00000472266	lncRNA
hsa-let-7d-5p	miRNA	ENST00000473689	lncRNA
hsa-let-7d-5p	miRNA	ENST00000487243	lncRNA
hsa-let-7d-5p	miRNA	ENST00000489617	lncRNA
hsa-let-7d-5p	miRNA	ENST00000507001	lncRNA
hsa-let-7d-5p	miRNA	ENST00000507638	lncRNA
hsa-let-7d-5p	miRNA	ENST00000529977	lncRNA
hsa-let-7d-5p	miRNA	ENST00000541782	lncRNA
hsa-let-7d-5p	miRNA	ENST00000547361	lncRNA
hsa-let-7d-5p	miRNA	ENST00000554950	lncRNA
hsa-let-7d-5p	miRNA	ENST00000563220	lncRNA
hsa-let-7d-5p	miRNA	ENST00000566735	lncRNA
hsa-let-7d-5p	miRNA	ENST00000567828	lncRNA
hsa-let-7d-5p	miRNA	ENST00000569888	lncRNA
hsa-let-7d-5p	miRNA	ENST00000581220	lncRNA
hsa-let-7d-5p	miRNA	ENST00000595897	lncRNA
hsa-let-7d-5p	miRNA	ENST00000600836	lncRNA
hsa-let-7d-5p	miRNA	ENST00000604346	lncRNA
hsa-let-7d-5p	miRNA	ENST00000620845	lncRNA
hsa-let-7d-5p	miRNA	ENST00000634478	lncRNA
hsa-let-7d-5p	miRNA	ENST00000640411	lncRNA
hsa-let-7d-5p	miRNA	ENST00000644078	gene
hsa-let-7d-5p	miRNA	ENST00000645380	lncRNA
hsa-let-7d-5p	miRNA	ENST00000650443	lncRNA
hsa-let-7d-5p	miRNA	ENST00000661074	lncRNA
hsa-let-7e-5p	miRNA	ENST00000274695	gene
hsa-let-7e-5p	miRNA	ENST00000381017	lncRNA
hsa-let-7e-5p	miRNA	ENST00000417123	lncRNA
hsa-let-7e-5p	miRNA	ENST00000428597	lncRNA
hsa-let-7e-5p	miRNA	ENST00000445430	lncRNA
hsa-let-7e-5p	miRNA	ENST00000448668	lncRNA
hsa-let-7e-5p	miRNA	ENST00000450462	lncRNA
hsa-let-7e-5p	miRNA	ENST00000459941	lncRNA
hsa-let-7e-5p	miRNA	ENST00000461081	lncRNA
hsa-let-7e-5p	miRNA	ENST00000462798	lncRNA
hsa-let-7e-5p	miRNA	ENST00000463106	lncRNA
hsa-let-7e-5p	miRNA	ENST00000464961	lncRNA
hsa-let-7e-5p	miRNA	ENST00000472266	lncRNA
hsa-let-7e-5p	miRNA	ENST00000472563	lncRNA
hsa-let-7e-5p	miRNA	ENST00000473019	lncRNA
hsa-let-7e-5p	miRNA	ENST00000473967	lncRNA
hsa-let-7e-5p	miRNA	ENST00000475557	lncRNA
hsa-let-7e-5p	miRNA	ENST00000476196	lncRNA
hsa-let-7e-5p	miRNA	ENST00000476444	lncRNA
hsa-let-7e-5p	miRNA	ENST00000476788	lncRNA
hsa-let-7e-5p	miRNA	ENST00000477900	lncRNA
hsa-let-7e-5p	miRNA	ENST00000478928	lncRNA
hsa-let-7e-5p	miRNA	ENST00000479708	lncRNA
hsa-let-7e-5p	miRNA	ENST00000480885	lncRNA
hsa-let-7e-5p	miRNA	ENST00000480929	lncRNA
hsa-let-7e-5p	miRNA	ENST00000480982	lncRNA
hsa-let-7e-5p	miRNA	ENST00000485635	lncRNA
hsa-let-7e-5p	miRNA	ENST00000487243	lncRNA
hsa-let-7e-5p	miRNA	ENST00000488973	lncRNA
hsa-let-7e-5p	miRNA	ENST00000489786	lncRNA
hsa-let-7e-5p	miRNA	ENST00000490674	lncRNA
hsa-let-7e-5p	miRNA	ENST00000492298	lncRNA
hsa-let-7e-5p	miRNA	ENST00000493555	lncRNA
hsa-let-7e-5p	miRNA	ENST00000495001	lncRNA
hsa-let-7e-5p	miRNA	ENST00000501122	lncRNA
