source	target	pearson
hsa-let-7b-3p	ENST00000417120	-0.877989989891
hsa-let-7b-3p	ENST00000543915	-0.878853704508
hsa-let-7b-3p	ENST00000429659	-0.86242316492
hsa-let-7b-3p	ENST00000459993	-0.856140949834
hsa-let-7b-3p	ENST00000463912	-0.942382511465
hsa-let-7b-3p	ENST00000464961	-0.867208518729
hsa-let-7b-3p	ENST00000465379	-0.923651996331
hsa-let-7b-3p	ENST00000466379	-0.921586143899
hsa-let-7b-3p	ENST00000468620	-0.858250610526
hsa-let-7b-3p	ENST00000468986	-0.945521368114
hsa-let-7b-3p	ENST00000472207	-0.971232225176
hsa-let-7b-3p	ENST00000480583	-0.923989122664
hsa-let-7b-3p	ENST00000480885	-0.921487767209
hsa-let-7b-3p	ENST00000483789	-0.893815339164
hsa-let-7b-3p	ENST00000485349	-0.949809935896
hsa-let-7b-3p	ENST00000488621	-0.853880964886
hsa-let-7b-3p	ENST00000490939	-0.90197178902
hsa-let-7b-3p	ENST00000492618	-0.852676572779
hsa-let-7b-3p	ENST00000497085	-0.907355487701
hsa-let-7b-3p	ENST00000500036	-0.965328401888
hsa-let-7b-3p	ENST00000501122	-0.925230841922
hsa-let-7b-3p	ENST00000510396	-0.943764092938
hsa-let-7b-3p	ENST00000519517	-0.951294606795
hsa-let-7b-3p	ENST00000521620	-0.863736000336
hsa-let-7b-3p	ENST00000551766	-0.864005915332
hsa-let-7b-3p	ENST00000554588	-0.963652376959
hsa-let-7b-3p	ENST00000564407	-0.985719797738
hsa-let-7b-3p	ENST00000581424	-0.944306519227
hsa-let-7b-3p	ENST00000617518	-0.993899695063
hsa-let-7b-3p	ENST00000617860	-0.893841526974
hsa-let-7b-3p	ENST00000623461	-0.931785551549
hsa-let-7b-3p	ENST00000626866	-0.966809280702
hsa-let-7b-3p	ENST00000640411	-0.916972990833
hsa-let-7b-3p	ENST00000647895	-0.948167962704
hsa-let-7b-3p	ENST00000669263	-0.934730258738
hsa-let-7d-5p	ENST00000381017	-0.926977218949
hsa-let-7d-5p	ENST00000644078	-0.971705330326
hsa-let-7d-5p	ENST00000439494	-0.933869442147
hsa-let-7d-5p	ENST00000472266	-0.924664857309
hsa-let-7d-5p	ENST00000473689	-0.967703050616
hsa-let-7d-5p	ENST00000487243	-0.902226505399
hsa-let-7d-5p	ENST00000489617	-0.892786879002
hsa-let-7d-5p	ENST00000507001	-0.901680762267
hsa-let-7d-5p	ENST00000507638	-0.863578763986
hsa-let-7d-5p	ENST00000529977	-0.959458403439
hsa-let-7d-5p	ENST00000541782	-0.902697760548
hsa-let-7d-5p	ENST00000547361	-0.87689873182
hsa-let-7d-5p	ENST00000554950	-0.877737897084
hsa-let-7d-5p	ENST00000563220	-0.950573735033
hsa-let-7d-5p	ENST00000566735	-0.89007850072
hsa-let-7d-5p	ENST00000567828	-0.903067396151
hsa-let-7d-5p	ENST00000569888	-0.851388190378
hsa-let-7d-5p	ENST00000581220	-0.887492951625
hsa-let-7d-5p	ENST00000595897	-0.895901702573
hsa-let-7d-5p	ENST00000600836	-0.852675174244
hsa-let-7d-5p	ENST00000604346	-0.899355246833
hsa-let-7d-5p	ENST00000620845	-0.890109547067
hsa-let-7d-5p	ENST00000634478	-0.929936036653
